id	title	description	link	image_link	availability	price	brand	gender	size	item_group_id
22134-55	Очки солнцезащитные	Очки солнцезащитные	https://m.ququ.shop/product/100702-WCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/100702-WCALTR-0.jpg	in_stock	2899 TJS	Love Moschino	female	size: 55	22134
22980-00	Кошелек	Кошелек	https://m.ququ.shop/product/106487-OBALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/106487-OBALTR-0.jpg	in_stock	2149 TJS	Coccinelle	female	size: 00	22980
26498-44	Джинсы	Джинсы	https://m.ququ.shop/product/101188-SCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/101188-SCALTR-0.jpg	in_stock	5999 TJS	Love Moschino	female	size: 44	26498
21573-41	Рубашка	Рубашка	https://m.ququ.shop/product/101255-TCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/101255-TCALTR-0.jpg	in_stock	1749 TJS	Boss	male	size: 41	21573
21573-42	Рубашка	Рубашка	https://m.ququ.shop/product/101255-TCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/101255-TCALTR-0.jpg	in_stock	1749 TJS	Boss	male	size: 42	21573
21573-43	Рубашка	Рубашка	https://m.ququ.shop/product/101255-TCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/101255-TCALTR-0.jpg	in_stock	1749 TJS	Boss	male	size: 43	21573
21573-44	Рубашка	Рубашка	https://m.ququ.shop/product/101255-TCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/101255-TCALTR-0.jpg	in_stock	1749 TJS	Boss	male	size: 44	21573
21573-45	Рубашка	Рубашка	https://m.ququ.shop/product/101255-TCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/101255-TCALTR-0.jpg	in_stock	1749 TJS	Boss	male	size: 45	21573
2950-40	Платье	Платье	https://m.ququ.shop/product/100668-SCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/100668-SCALTR-0.jpg	in_stock	6349 TJS	Love Moschino	female	size: 40	2950
2950-42	Платье	Платье	https://m.ququ.shop/product/100668-SCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/100668-SCALTR-0.jpg	in_stock	6349 TJS	Love Moschino	female	size: 42	2950
2950-44	Платье	Платье	https://m.ququ.shop/product/100668-SCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/100668-SCALTR-0.jpg	in_stock	6349 TJS	Love Moschino	female	size: 44	2950
